rank,primary_brand,total_products,healthy_products,healthy_frac,avg_protein,avg_sugar
308,Bugles,5,1,20.0,5.7,10.9
309,Coca-Cola,5,1,20.0,7.4,6.9
310,Dainty Foods,5,1,20.0,6.4,0.0
311,Gnc,5,1,20.0,28.5,10.6
312,Herbalife,5,1,20.0,23.7,20.2
313,King Nut Company,5,1,20.0,18.7,8.7
314,Pacific,5,1,20.0,14.5,10.0
315,Planters Deluxe,5,1,20.0,15.5,5.9
316,Price Rite,5,1,20.0,5.5,20.9
317,Sainsbury,5,1,20.0,9.0,19.4
318,Savoritz,5,1,20.0,6.8,2.6
319,Setton International Foods Inc,5,1,20.0,9.2,30.5
320,Smart Sense,5,1,20.0,5.4,30.2
321,Star,5,1,20.0,3.3,43.0
322,Stonemill Kitchens,5,1,20.0,4.2,5.1
323,Taylor Fresh Foods  Inc.,5,1,20.0,5.9,8.2
324,The Peanut Patch  Inc.,5,1,20.0,19.0,14.0
325,Vigo Importing Company,5,1,20.0,4.8,2.3
326,Wholesome,5,1,20.0,11.6,41.6
327,Wholesome Pantry,5,1,20.0,6.1,17.1
328,Wise,66,13,19.7,5.4,4.6
329,Ht Traders,67,13,19.4,8.0,21.2
330,Selection,67,13,19.4,7.5,18.4
331,The Kroger Co.,31,6,19.4,8.2,15.6
332,Doritos,213,41,19.2,6.8,2.4
333,Christie,63,12,19.0,6.3,18.4
334,Publix,63,12,19.0,7.9,21.3
335,Annie'S Homegrown,37,7,18.9,4.9,28.7
336,Garden,32,6,18.8,6.6,16.1
337,Full Circle Market,16,3,18.8,10.1,13.8
338,Rocky Mountain Foods  Inc.,16,3,18.8,10.8,25.8
339,Snyder Of Berlin,16,3,18.8,6.9,3.2
340,Torn & Glasser Inc,16,3,18.8,7.2,38.2
341,La Preferida,27,5,18.5,7.1,1.9
342,Baker'S,11,2,18.2,8.2,42.9
343,Bazzini Llc,11,2,18.2,10.8,18.7
344,Chester'S,11,2,18.2,6.2,2.6
345,Great Lakes,11,2,18.2,4.5,37.6
346,Irresistibles,11,2,18.2,6.3,19.3
347,Kelloggs,11,2,18.2,8.1,23.4
348,Planters® Nut-Rition®,11,2,18.2,16.1,15.1
349,Second Nature Snacks Company,11,2,18.2,13.5,29.6
350,Shurfine,11,2,18.2,6.6,20.9
351,Trader Joe'S,494,87,17.6,8.4,23.7
352,Good & Gather,91,16,17.6,10.2,23.4
353,North Star Trading Company,17,3,17.6,11.5,28.9
354,Spartan,115,20,17.4,8.4,24.5
355,Key Food,46,8,17.4,7.7,15.2
356,Lunds & Byerlys,88,15,17.0,8.7,36.5
357,Marks And Spencer,47,8,17.0,6.5,17.9
358,Hannaford,59,10,16.9,6.9,15.4
359,Our Family,101,17,16.8,7.4,26.3
360,Stauffer'S,30,5,16.7,6.5,23.2
361,Ginger Evans,18,3,16.7,5.0,41.1
362,Choix Du Président,12,2,16.7,7.4,18.1
363,Simply Roundy'S,12,2,16.7,8.9,13.2
364,Abound,6,1,16.7,16.1,18.4
365,Breton,6,1,16.7,6.7,5.7
366,Elevate,6,1,16.7,5.5,7.9
367,Herdez,6,1,16.7,2.9,2.0
368,Maple Grove Farms Of Vermont,6,1,16.7,13.1,18.8
369,Miss Vickie’S,6,1,16.7,5.9,3.4
370,Old Trapper,6,1,16.7,36.3,14.3
371,Snakclub,6,1,16.7,9.5,40.4
372,Tesco,6,1,16.7,9.6,27.0
373,Western Family,73,12,16.4,7.7,25.6
374,Best Choice,55,9,16.4,7.9,21.5
375,Marks & Spencer,433,69,15.9,6.7,26.1
376,Better Made,38,6,15.8,8.0,5.8
377,Food Lion,96,15,15.6,6.9,21.4
378,Nice,77,12,15.6,8.0,36.3
379,Giant Eagle,161,25,15.5,6.4,15.6
380,Roundy'S,97,15,15.5,7.3,23.9
381,Entertainment Production House Inc.,13,2,15.4,10.0,15.3
382,Krinos,13,2,15.4,2.6,29.7
383,Metro,13,2,15.4,9.4,14.9
384,Second Nature,13,2,15.4,12.8,26.1
385,Slimfast,13,2,15.4,10.2,11.8
386,Utz Quality Foods  Inc.,13,2,15.4,7.0,4.4
387,Simply Balanced,60,9,15.0,6.0,25.0
388,Trader Joe’S,40,6,15.0,7.9,22.8
389,Raley'S,47,7,14.9,7.4,22.5
390,Winco Foods,84,12,14.3,7.0,17.7
391,Laura Lynn,56,8,14.3,7.1,29.3
392,Sam'S Choice,28,4,14.3,7.4,30.2
393,Deep,14,2,14.3,7.5,16.5
394,Taylor Farms,14,2,14.3,6.6,7.1
395,Bofrost,7,1,14.3,5.2,10.8
396,Golden Flake Snack Foods  Inc.,7,1,14.3,9.8,2.4
397,Good And Gather,7,1,14.3,7.4,14.6
398,Imagine,7,1,14.3,14.8,23.9
399,Kellogs,7,1,14.3,7.9,26.0
400,King Arthur Baking Company,7,1,14.3,9.1,33.2
401,Minnie Marie Bakers  Inc.,7,1,14.3,5.6,26.2
402,Ricola,7,1,14.3,2.1,0.7
403,Springfield,7,1,14.3,6.2,6.6
404,Terry'S,7,1,14.3,8.0,47.9
405,Trappey'S,7,1,14.3,6.0,0.4
406,Trophy,7,1,14.3,13.2,34.2
407,Vigo,7,1,14.3,5.1,1.0
408,Walkers Shortbread Ltd.,7,1,14.3,6.6,21.6
409,Old Dutch,92,13,14.1,7.0,3.8
410,Wal-Mart Stores  Inc.,64,9,14.1,6.8,22.3
411,Great Value,464,65,14.0,8.2,20.8
412,Lay'S,351,49,14.0,6.5,4.2
413,Mariani,43,6,14.0,6.0,39.7
414,Sans Nom,29,4,13.8,6.2,27.9
415,Archer Farms,132,18,13.6,8.6,25.5
416,Target Stores,230,31,13.5,7.2,31.2
417,Wegmans,457,61,13.3,7.7,28.8
418,Old El Paso,15,2,13.3,5.4,1.1
419,Reese,15,2,13.3,6.7,22.1
420,Trader Joes,15,2,13.3,9.0,30.5
421,Mondelez,61,8,13.1,4.3,39.5
422,Snack Factory,61,8,13.1,8.0,14.1
423,Lance,192,25,13.0,10.0,15.9
424,Daily Chef,47,6,12.8,6.5,28.9
425,Dare,119,15,12.6,6.4,24.7
426,M&S,144,18,12.5,5.9,24.7
427,Paskesz,24,3,12.5,6.4,41.3
428,Ready Pac,16,2,12.5,5.5,6.3
429,Ahold,8,1,12.5,3.8,12.1
430,Crown,8,1,12.5,17.9,8.4
431,Current'S Tackle,8,1,12.5,9.0,25.7
432,Eillien'S,8,1,12.5,7.0,38.1
433,Kemps,8,1,12.5,6.6,16.8
434,Lieber'S,8,1,12.5,7.3,30.1
435,Nutco  Inc.,8,1,12.5,16.3,16.2
436,Quaker Oats,8,1,12.5,6.4,18.6
437,Rogers' Chocolates,8,1,12.5,6.6,40.4
438,Safeway Select,8,1,12.5,8.3,32.0
439,Starbucks,8,1,12.5,6.9,42.9
440,Sélection,8,1,12.5,5.9,10.7
441,Tops Markets  Llc,8,1,12.5,8.1,38.7
442,Yehuda,8,1,12.5,4.7,8.5
443,Quaker,125,15,12.0,6.7,19.6
444,7-Eleven,34,4,11.8,5.5,41.6
445,Good & Delish,17,2,11.8,7.9,22.8
446,Hill Country Fare,17,2,11.8,5.9,25.9
447,Market District,17,2,11.8,8.3,24.2
448,Gold Emblem,220,25,11.4,7.2,39.8
449,Jays,35,4,11.4,6.1,3.8
450,Food Club,98,11,11.2,6.9,22.2
451,Adams,9,1,11.1,25.8,6.0
452,El Mexicano,9,1,11.1,5.7,18.5
453,Flora,9,1,11.1,5.3,16.2
454,Harmons,9,1,11.1,5.8,39.9
455,Heinz,9,1,11.1,10.3,6.8
456,Martha White,9,1,11.1,5.3,35.2
457,New Hope Mills,9,1,11.1,6.5,38.2
458,Piggly Wiggly,9,1,11.1,6.0,23.8
459,Specially Selected,9,1,11.1,7.7,32.3
460,Tops,237,26,11.0,6.3,35.1
461,Ruffles,118,13,11.0,6.6,4.2
462,Market Pantry,165,18,10.9,6.2,25.5
463,Simple Truth Organic,57,6,10.5,8.7,17.8
464,Clancy'S,19,2,10.5,8.2,7.7
465,Weis,78,8,10.3,6.6,30.8
466,Utz,80,8,10.0,7.5,5.5
467,Harris-Teeter Inc.,30,3,10.0,6.2,24.0
468,Fresh Lock,10,1,10.0,6.7,42.0
469,Good Thins,10,1,10.0,5.7,0.9
470,Southern Home,10,1,10.0,4.8,30.1
471,Essential Everyday,92,9,9.8,6.4,24.4
472,Ben'S Original,21,2,9.5,4.6,0.9
473,Glico,21,2,9.5,8.3,29.8
474,Popchips,43,4,9.3,5.7,5.5
475,Private Selection,43,4,9.3,8.0,26.4
476,Fiber One,99,9,9.1,7.9,22.4
477,Aldi,11,1,9.1,11.7,17.8
478,Aurora,11,1,9.1,7.0,18.7
479,Chelsea Milling Company,11,1,9.1,4.7,35.6
480,Corner Store,11,1,9.1,10.1,23.8
481,Haddon House,11,1,9.1,2.5,6.4
482,Mahatma,11,1,9.1,6.4,0.3
483,Mckee Foods Corporation,11,1,9.1,4.8,31.5
484,Millville,11,1,9.1,10.5,29.0
485,Target Brands  Inc.,67,6,9.0,6.4,36.6
486,Big Y,34,3,8.8,5.9,34.6
487,7-Select,23,2,8.7,9.7,29.8
488,Kraft,48,4,8.3,14.2,23.9
489,Valu Time,36,3,8.3,7.4,25.4
490,Glk Foods  Llc,12,1,8.3,6.0,2.4
491,Lieber Chocolate & Food Products Co.,12,1,8.3,4.3,22.3
492,Kashi,87,7,8.0,10.7,18.8
493,Clover Valley,89,7,7.9,5.8,20.4
494,Schnucks,63,5,7.9,6.1,24.5
495,Culinaria,13,1,7.7,7.1,39.6
496,King Arthur Flour,13,1,7.7,7.9,32.6
497,Lotus,13,1,7.7,4.5,30.4
498,Twix,13,1,7.7,6.1,42.5
499,The Moran Group Incorporated,55,4,7.3,5.5,22.2
500,Cvs Pharmacy  Inc.,85,6,7.1,4.6,49.8
501,Gold Emblem Abound,14,1,7.1,12.9,30.0
502,Naturalia,14,1,7.1,15.9,6.9
503,Sadaf,14,1,7.1,3.8,15.5
504,Speedy Choice,14,1,7.1,6.2,52.5
505,Supervalu  Inc.,14,1,7.1,3.8,46.4
506,Meijer,57,4,7.0,5.0,22.5
507,Smucker'S,43,3,7.0,3.4,33.3
508,Nice!,15,1,6.7,9.4,39.3
509,Aldi-Benner Company,16,1,6.2,5.6,15.6
510,Cumberland Farms,16,1,6.2,5.3,29.8
511,J.S. Krum Inc.,16,1,6.2,5.5,29.3
512,Shirakiku,16,1,6.2,6.3,17.4
513,Cheetos,114,7,6.1,5.7,2.7
514,Laura Secord,17,1,5.9,5.9,42.3
515,Sweetarts,17,1,5.9,0.9,57.0
516,Hy-Vee  Inc.,36,2,5.6,6.1,34.5
517,Family Gourmet,19,1,5.3,4.5,30.1
518,The Hain Celestial Group  Inc.,20,1,5.0,6.6,13.1
519,7-Eleven  Inc.,21,1,4.8,6.1,48.0
520,Rite Aid Corporation,21,1,4.8,6.5,35.7
521,Abimar Foods  Inc.,22,1,4.5,4.6,24.3
522,Skippy,70,3,4.3,22.0,12.5
523,Walgreens Co.,48,2,4.2,3.5,50.0
524,Nabisco,147,6,4.1,5.3,23.7
525,Keebler,75,3,4.0,5.5,24.3
526,7 Select,53,2,3.8,5.6,34.2
527,Cvs Pharmacy,27,1,3.7,4.2,48.1
528,Cento,28,1,3.6,1.9,1.6
529,Nature'S Path,29,1,3.4,7.9,24.3
530,Bell-View,31,1,3.2,0.5,12.3
531,Delallo,32,1,3.1,2.4,6.4
532,Walkers,99,3,3.0,5.7,20.1
533,Kellogg'S,156,4,2.6,6.3,29.3
534,Sun Chips,39,1,2.6,6.9,6.6
535,Meiji,40,1,2.5,6.8,31.6
536,Palmer'S Candies,40,1,2.5,4.1,50.2
537,Russell Stover,331,8,2.4,4.8,45.2
538,Tic Tac,42,1,2.4,0.5,9.0
539,Voortman,47,1,2.1,4.4,26.3
540,Lindt,202,4,2.0,6.0,38.4
541,Ritz,50,1,2.0,6.4,9.7
542,Walmart,49,1,2.0,6.0,27.3
543,Mars,57,1,1.8,5.1,55.6
544,Palmer,55,1,1.8,3.7,57.0
545,Godiva,66,1,1.5,7.1,37.0
546,General Mills,74,1,1.4,5.0,29.7
547,Reese'S,238,3,1.3,10.0,47.2
548,The Bakery,155,1,0.6,4.2,32.4
549,Nature Valley,206,1,0.5,11.1,23.5
550,Pringles,196,1,0.5,4.3,3.0
551,Hershey'S,182,1,0.5,6.7,49.4
552,Jelly Belly,161,0,0.0,0.1,63.8
553,Oreo,135,0,0.0,3.4,41.8
554,Nestlé,118,0,0.0,5.2,51.3
555,Tastykake,116,0,0.0,4.0,36.1
556,Brach'S,115,0,0.0,1.4,64.3
557,Cadbury,108,0,0.0,6.1,51.3
558,Entenmann'S,101,0,0.0,3.8,32.9
559,Haribo,99,0,0.0,5.8,48.7
560,M&M'S,99,0,0.0,6.5,51.3
561,Ocean Spray,99,0,0.0,1.2,44.9
562,Mrs. Freshley'S,98,0,0.0,3.9,33.8
563,Larabar,92,0,0.0,9.9,34.0
564,Peeps,92,0,0.0,2.2,72.9
